,Time,Predicted Quantity,Lower Bound,Higher Boundary
8135,2016-01-31,-71.13229443116197,-71.13229443119519,-71.13229443112469
8136,2015-10-31,-1.352793045580904,-4.156771851288097,1.428164140370086
8137,2018-11-30,46.739184380651565,19.70526540616412,74.2449972085355
8138,2018-11-30,7.485805095851043,3.311469756054407,11.498187189675765
8139,2013-07-31,2.6810953110969717,2.6790997061890613,2.681095311096979
8140,2013-04-30,3.0,2.9999999961620505,3.0000000042402077
8141,2017-08-31,78.8473727621119,-40.12543848388256,206.27549041044958
8142,2016-04-30,3.4143198828089183,3.4111591577189833,3.4174243775123267
8143,2018-09-30,6.672944596690678,5.911506067316484,7.455881611943051
8144,2018-03-31,5.343822185475023,2.6090425571151323,8.162474271159462
8145,2012-10-31,4.5441525533980025,2.9818274840786505,6.0264467558161385
8146,2018-08-31,0.8687089195566724,-1.49162899866725,3.1330842788998794
8147,2016-07-31,-39.96650027957188,-39.966500280415055,-39.96650027878075
8148,2018-08-31,-1.146611863039086,-3.0511815559015605,0.7187871020334853
8149,2017-10-31,3.763975545767871,1.7423521439663172,5.855898442188501
8150,2018-05-31,4.288746312213917,0.3450048586432363,7.748924062412662
8151,2017-05-31,4.430558441886506,2.340703820440136,6.492158164173954
8152,2017-03-31,5.0,4.999999993957821,5.000000006597218
8153,2015-06-30,-296.45271709667577,-296.4527171070801,-296.4527170859523
8154,2012-10-31,-1.6406127524750287,-3.029229977921458,-0.24538351999161767
8155,2012-08-31,4.141748618070299,3.0009422418992298,5.3650125613948685
8156,2018-08-31,7.3626351046150225,2.852254992868401,11.78595553319203
8157,2017-11-30,8.832103585818256,4.703607949952177,12.76953772491914
8158,2018-01-31,420.5088746140799,420.50887461395405,420.50887461420035
8159,2011-03-31,5.0,4.999999960869543,5.000000041137007
8160,2018-07-31,4.710519728846811,1.7208751198615522,7.721287180868702
8161,2011-04-30,5.0,4.999999993152922,5.000000007252964
8162,2012-07-31,3.072890735931094,1.0792304075048493,4.98295983181225
8163,2011-08-31,5.0,4.999999992394789,5.000000007182396
8164,2013-08-31,5.303030303030303,5.303030303030303,5.303030303030303
8165,2018-11-30,32.88230086995864,8.711929852515064,56.297310126407346
8166,2018-09-30,6.31219601952455,3.261356570698589,9.762521463183264
